#OTU ID,taxonomy
ASV_1,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Petrimonas; s__unclassified_Petrimonas
ASV_177,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__unclassified_Vibrio
ASV_178,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__unclassified_Pseudomonas
ASV_179,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__uncultured; s__unclassified_uncultured
ASV_180,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Propionispira; s__unclassified_Propionispira
ASV_181,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Paraclostridium; s__unclassified_Paraclostridium
ASV_182,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__unclassified_Escherichia-Shigella
ASV_183,d__Bacteria; p__unclassified_Bacteria; c__unclassified_Bacteria; o__unclassified_Bacteria; f__unclassified_Bacteria; g__unclassified_Bacteria; s__unclassified_Bacteria
ASV_184,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__Pelotomaculum_sp.
ASV_185,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Desulfosporosinus; s__unclassified_Desulfosporosinus
ASV_186,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__unclassified_Acinetobacter
ASV_187,d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__OPB41; f__OPB41; g__OPB41; s__uncultured_bacterium
ASV_188,d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__OPB41; f__OPB41; g__OPB41; s__uncultured_bacterium
ASV_189,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Delftia; s__unclassified_Delftia
ASV_190,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__unclassified_Bacillus
ASV_191,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Cupriavidus; s__unclassified_Cupriavidus
ASV_192,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Gracilibacteraceae; g__Lutispora; s__Clostridium
ASV_193,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__unclassified_Christensenellaceae_R-7_group
ASV_194,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Rhodocyclaceae; g__Zoogloea; s__unclassified_Zoogloea
ASV_195,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Petrimonas; s__Petrimonas_sulfuriphila
ASV_196,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__iron-reducing_bacterium
ASV_197,d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__OPB41; f__OPB41; g__OPB41; s__unclassified_OPB41
ASV_198,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Shimwellia; s__Shimwellia_blattae
ASV_199,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Gracilibacteraceae; g__Lutispora; s__uncultured_bacterium
ASV_200,d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__OPB41; f__OPB41; g__OPB41; s__unclassified_OPB41
